股票代码,股票名称,交易所,来源指数,分红次数
002353,杰瑞股份,深市主板,红利增长,18
002371,北方华创,深市主板,红利增长,14
002409,雅克科技,深市主板,红利增长,17
002850,科达利,深市主板,红利增长,9
300015,爱尔眼科,创业板,红利增长,16
300092,科新机电,创业板,红利增长,10
300346,南大光电,创业板,红利增长,17
300384,三联虹普,创业板,红利增长,13
300705,九典制药,创业板,红利增长,8
600284,浦东建设,沪市主板,红利增长,22
600323,瀚蓝环境,沪市主板,红利增长,27
600362,江西铜业,沪市主板,红利增长,25
600377,宁沪高速,沪市主板,红利增长,25
600406,国电南瑞,沪市主板,红利增长,23
600436,片仔癀,沪市主板,红利增长,24
600549,厦门钨业,沪市主板,红利增长,24
600562,国睿科技,沪市主板,红利增长,18
600582,天地科技,沪市主板,红利增长,20
600600,青岛啤酒,沪市主板,红利增长,31
600690,海尔智家,沪市主板,红利增长,30
600761,安徽合力,沪市主板,红利增长,26
600993,马应龙,沪市主板,红利增长,22
601008,连云港,沪市主板,红利增长,17
601899,紫金矿业,沪市主板,红利增长,21
000513,丽珠集团,深市主板,红利质量,37
002056,横店东磁,深市主板,红利质量,18
002192,融捷股份,深市主板,红利质量,8
002415,海康威视,深市主板,红利质量,17
002959,小熊电器,深市主板,红利质量,6
300033,同花顺,创业板,红利质量,17
300373,扬杰科技,创业板,红利质量,15
300693,盛弘股份,创业板,红利质量,8
300750,宁德时代,创业板,红利质量,10
300841,康华生物,创业板,红利质量,5
300957,贝泰妮,创业板,红利质量,5
301031,中熔电气,创业板,红利质量,6
600750,华润江中,沪市主板,红利质量,30
601336,新华保险,沪市主板,红利质量,15
601900,南方传媒,沪市主板,红利质量,11
603129,春风动力,沪市主板,红利质量,8
603233,大参林,沪市主板,红利质量,9
603367,辰欣药业,沪市主板,红利质量,10
603379,三美股份,沪市主板,红利质量,6
603444,吉比特,沪市主板,红利质量,13
603486,科沃斯,沪市主板,红利质量,6
603529,爱玛科技,沪市主板,红利质量,7
603611,诺力股份,沪市主板,红利质量,10
603833,欧派家居,沪市主板,红利质量,8
603893,瑞芯微,沪市主板,红利质量,7
603929,亚翔集成,沪市主板,红利质量,10
605499,东鹏饮料,沪市主板,红利质量,7
688025,杰普特,科创板,红利质量,6
688111,金山办公,科创板,红利质量,6
688188,柏楚电子,科创板,红利质量,7
688200,华峰测控,科创板,红利质量,7
688513,苑东生物,科创板,红利质量,5
688799,华纳药厂,科创板,红利质量,4
688819,天能股份,科创板,红利质量,5
920735,德源药业,其他,红利质量,0
