股票代码,股票名称,交易所,来源指数,分红次数
603565,中谷物流,沪市主板,"中证红利, 中证红利质量",7
600938,中国海油,沪市主板,"中证红利, 中证红利质量, 红利质量",7
688188,柏楚电子,沪市科创板,红利质量,7
603967,中创物流,沪市主板,中证红利,7
603317,天味食品,沪市主板,中证红利质量,7
603529,爱玛科技,沪市主板,红利质量,7
601658,邮储银行,沪市主板,中证红利,7
605499,东鹏饮料,沪市主板,红利质量,7
601077,渝农商行,沪市主板,中证红利,7
605118,力鼎光电,沪市主板,中证红利质量,7
603706,东方环宇,沪市主板,中证红利,7
603893,瑞芯微,沪市主板,红利质量,7
002959,小熊电器,深市主板,红利质量,6
603379,三美股份,沪市主板,红利质量,6
688025,杰普特,沪市科创板,红利质量,6
603486,科沃斯,沪市主板,红利质量,6
601187,厦门银行,沪市主板,中证红利,6
603195,公牛集团,沪市主板,中证红利质量,6
688111,金山办公,沪市科创板,红利质量,6
301031,中熔电气,其他,红利质量,6
601963,重庆银行,沪市主板,中证红利,6
688819,天能股份,沪市科创板,红利质量,5
688513,苑东生物,沪市科创板,红利质量,5
300957,贝泰妮,深市创业板,红利质量,5
601916,浙商银行,沪市主板,中证红利,5
605099,共创草坪,沪市主板,"中证红利质量, 红利质量",5
300841,康华生物,深市创业板,红利质量,5
301109,军信股份,其他,中证红利,4
605599,菜百股份,沪市主板,中证红利质量,4
688799,华纳药厂,沪市科创板,红利质量,4
001338,永顺泰,深市主板,中证红利质量,3
920509,同惠电子,北交所,中证红利质量,0
920599,同力股份,北交所,中证红利,0
920735,德源药业,北交所,红利质量,0
