股票代码,股票名称,交易所,来源指数,申万一级行业,申万二级行业,申万三级行业,概念板块,行业板块,2025年平均价,2025年分红(元/股),2025年分红次数,2025年股息率(%),2024年平均价,2024年分红(元/股),2024年分红次数,2024年股息率(%),2023年平均价,2023年分红(元/股),2023年分红次数,2023年股息率(%),近3年平均股价,3年平均股息率(%),2025Q1平均价,2025Q1分红(元/股),2025Q1股息率(%),2025Q2平均价,2025Q2分红(元/股),2025Q2股息率(%),2025Q3平均价,2025Q3分红(元/股),2025Q3股息率(%),2025Q4平均价,2025Q4分红(元/股),2025Q4股息率(%),2025年最高价,2025年最低价,2025年最高涨幅(%),2025年最低跌幅(%)
601168,西部矿业,沪市主板,中证红利,有色金属,工业金属,铜,MSCI中国;上证380;中证500;央国企改革;小金属概念;工业金属;新材料;有色金属;标准普尔;沪股通;稀缺资源;融资融券;西部大开发;钒电池;铜;锂矿概念;青海板块;黄金概念,工业金属,18.83,1.0,1,5.31,17.21,0.5,1,2.91,12.09,1.4,1,11.58,16.04,6.6,17.18,-,-,15.82,1.0,6.32,18.13,-,-,24.19,-,-,27.64,14.44,46.75,23.33
601008,连云港,沪市主板,红利增长,交通运输,航运港口,港口,一带一路;中俄贸易概念;交通运输;央国企改革;江苏板块;沪股通;港口;航运港口;融资融券;长江三角,航运港口,5.45,0.06,1,1.1,3.73,0.05,1,1.34,4.49,0.05,1,1.11,4.56,1.18,3.74,-,-,6.35,0.06,0.95,6.06,-,-,5.51,-,-,8.2,3.59,50.41,34.15
2409,雅克科技,深市主板,红利增长,电子,半导体,半导体材料,MSCI中国;OLED;专精特新;中芯概念;中证500;光刻机(胶);半导体;半导体材料;半导体概念;国产芯片;存储芯片;富时罗素;工业气体;昨日高振幅;标准普尔;氟化工概念;江苏板块;深成500;深股通;电子;磷化工;融资融券;高带宽内存,半导体,61.9,0.58,2,0.94,57.03,0.68,2,1.19,62.09,0.32,1,0.52,60.34,0.88,60.41,-,-,54.16,0.26,0.48,58.71,0.32,0.55,74.55,-,-,84.94,51.5,37.23,16.8
601699,潞安环能,沪市主板,中证红利,煤炭,煤炭开采,焦煤,MSCI中国;上证380;中证500;反内卷概念;央国企改革;富时罗素;山西板块;昨日高振幅;标准普尔;沪股通;焦煤;煤炭;煤炭开采;破净股;稀缺资源;红利破净股;红利股;融资融券,煤炭开采,12.72,0.41,1,3.22,18.85,1.59,1,8.43,19.21,2.85,1,14.84,16.92,8.83,12.7,-,-,11.12,0.41,3.69,13.12,-,-,13.88,-,-,16.46,10.39,29.45,18.29
2415,海康威视,深市主板,红利质量,计算机,计算机设备,安防设备,AI应用;HS300_;MSCI中国;中特估;云计算;人工智能;大数据;央国企改革;央视50_;安防概念;安防设备;无人机;无人驾驶;智慧城市;机器人概念;标准普尔;浙江板块;深成500;深股通;深证100R;物联网;生物识别;茅指数;虚拟现实;融资融券;计算机;计算机设备;证金持股;超清视频;车联网(车路云);边缘计算;长江三角,计算机设备,29.88,1.1,2,3.68,30.9,0.9,1,2.91,36.03,0.7,1,1.94,32.27,2.85,30.7,-,-,28.34,0.7,2.47,29.47,-,-,31.11,0.4,1.29,34.17,27.26,14.34,8.78
600971,恒源煤电,沪市主板,中证红利,煤炭,煤炭开采,动力煤,养老金;反内卷概念;央国企改革;安徽板块;富时罗素;小盘股;标准普尔;沪股通;焦煤;煤炭;煤炭开采;破净股;稀缺资源;红利破净股;红利股;融资融券;长期破净,煤炭开采,7.33,0.47,2,6.41,11.03,0.85,1,7.71,8.99,1.0,1,11.12,9.12,8.41,8.64,0.2,2.32,7.06,0.27,3.82,6.87,-,-,6.87,-,-,9.16,6.24,24.9,14.92
2262,恩华药业,深市主板,红利增长,医药生物,化学制药,化学制剂,MSCI中国;中证500;互联医疗;创新药;化学制剂;化学制药;医药生物;富时罗素;标准普尔;江苏板块;深成500;深股通;痘病毒防治;精准医疗;融资融券;长江三角;阿兹海默,化学制药,23.42,0.36,1,1.54,24.81,0.32,1,1.29,26.45,0.2,1,0.76,24.89,1.19,22.26,-,-,22.1,0.36,1.63,24.28,-,-,24.9,-,-,28.92,20.78,23.48,11.27
2017,东信和平,深市主板,红利增长,通信,通信设备,通信终端及配件,5G概念;信创;央国企改革;富时罗素;小盘股;广东板块;数字货币;数据安全;深股通;物联网;电商概念;移动支付;网络安全;融资融券;车联网(车路云);通信;通信终端及配件;通信设备,通信设备,17.71,0.16,1,0.93,9.23,0.15,1,1.62,13.01,0.1,1,0.77,13.32,1.11,10.53,-,-,11.26,0.16,1.46,25.25,-,-,22.7,-,-,34.87,8.69,96.85,50.94
601000,唐山港,沪市主板,"中证红利, 中证红利质量",交通运输,航运港口,港口,上证380;中证500;交通运输;京津冀;价值股;央国企改革;富时罗素;标准普尔;沪股通;河北板块;港口;红利股;航运港口;融资融券;证金持股;雄安新区,航运港口,4.1,0.2,1,4.88,4.53,0.2,1,4.42,3.45,0.2,1,5.8,4.02,5.03,4.29,-,-,4.19,0.2,4.78,4.0,-,-,3.94,-,-,4.77,3.8,16.35,7.31
2532,天山铝业,深市主板,中证红利质量,有色金属,工业金属,铝,MSCI中国;中证500;价值股;富时罗素;工业金属;新疆板块;有色金属;深成500;深股通;融资融券;铝,工业金属,9.97,0.4,2,4.01,7.25,0.35,2,4.83,6.97,0.2,1,2.87,8.06,3.9,8.8,-,-,7.82,0.2,2.56,9.84,-,-,13.4,0.2,1.49,16.2,6.87,62.41,31.13
601668,中国建筑,沪市主板,中证红利,建筑装饰,房屋建设Ⅱ,房屋建设Ⅲ,HS300_;MSCI中国;PPP模式;一带一路;上证180_;上证50_;中字头;中特估;北京板块;央国企改革;富时罗素;工程建设;建筑装饰;房屋建设Ⅱ;房屋建设Ⅲ;数字孪生;机构重仓;标准普尔;沪股通;破净股;融资融券;装配建筑;证金持股;长期破净,房屋建设Ⅱ,5.55,0.27,1,4.89,5.51,0.27,1,4.92,5.67,0.25,1,4.46,5.58,4.76,5.51,-,-,5.6,-,-,5.69,0.27,4.77,5.37,-,-,6.13,5.08,10.49,8.44
601288,农业银行,沪市主板,中证红利,银行,国有大型银行Ⅱ,国有大型银行Ⅲ,AH股;HS300_;MSCI中国;上证180_;上证50_;中特估;互联网金融;北京板块;国有大型银行Ⅲ;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;跨境支付;银行;银行Ⅱ,银行Ⅱ,6.32,0.36,3,5.72,4.49,0.23,1,5.15,3.4,0.22,1,6.53,4.73,5.8,5.12,0.12,2.27,5.53,-,-,6.67,0.13,1.88,7.86,0.12,1.52,8.59,4.93,35.98,21.96
601958,金钼股份,沪市主板,中证红利质量,有色金属,小金属,钼,MSCI中国;OLED;上证380;中证500;军工;央国企改革;富时罗素;小金属;小金属概念;有色金属;标准普尔;沪股通;稀缺资源;融资融券;西部大开发;钼;陕西板块,小金属,12.3,0.4,1,3.25,10.6,0.4,1,3.77,11.22,0.3,1,2.67,11.37,3.23,10.45,-,-,10.31,-,-,13.59,0.4,2.94,14.63,-,-,17.47,9.33,42.01,24.16
601098,中南传媒,沪市主板,中证红利,传媒,出版,教育出版,上证380;中证500;传媒;出版;华为概念;在线教育;央国企改革;富时罗素;影视概念;教育出版;机构重仓;标准普尔;沪股通;湖南板块;红利股;融资融券,出版,13.02,0.55,2,4.23,12.59,0.65,2,5.16,11.56,0.6,1,5.19,12.39,4.86,13.29,-,-,14.11,0.45,3.19,12.98,-,-,11.7,0.1,0.85,15.14,11.0,16.32,15.49
2318,久立特材,深市主板,红利增长,钢铁,特钢Ⅱ,特钢Ⅲ,中证500;养老金;富时罗素;新材料;标准普尔;核能核电;浙江板块;深成500;深股通;特钢Ⅱ;特钢Ⅲ;航母概念;融资融券;超超临界发电;钢铁;长江三角;页岩气,特钢Ⅱ,24.04,0.97,1,4.04,22.22,0.48,1,2.16,17.47,0.43,1,2.46,21.24,2.89,23.5,-,-,24.05,0.97,4.03,22.91,-,-,25.77,-,-,28.95,21.79,20.44,9.35
600039,四川路桥,沪市主板,中证红利,建筑装饰,基础建设,基建市政工程,HS300_;MSCI中国;PPP模式;一带一路;上证180_;举牌;四川板块;基建市政工程;基础建设;央国企改革;富时罗素;工程建设;建筑装饰;成渝特区;标准普尔;沪股通;碳交易;磷化工;红利股;融资融券;西部大开发;锂电池概念;雅下水电概念,基础建设,8.65,0.41,2,4.73,7.34,0.55,2,7.55,10.76,0.91,1,8.46,8.92,6.91,7.37,-,-,9.15,-,-,8.65,0.38,4.36,9.37,0.03,0.34,10.25,6.84,18.48,20.94
601818,光大银行,沪市主板,中证红利,银行,股份制银行Ⅱ,股份制银行Ⅲ,AH股;HS300_;MSCI中国;上证180_;中特估;互联网金融;价值股;北京板块;央国企改革;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;股份制银行Ⅲ;融资融券;证金持股;银行;银行Ⅱ;长期破净,银行Ⅱ,3.8,0.19,2,4.98,3.28,0.17,1,5.28,3.06,0.19,1,6.22,3.38,5.49,3.78,0.1,2.75,3.93,-,-,3.95,0.08,2.15,3.51,-,-,4.44,3.34,16.95,12.03
915,华特达因,深市主板,中证红利质量,医药生物,化学制药,化学制剂,价值股;化学制剂;化学制药;医药生物;央国企改革;婴童概念;富时罗素;山东板块;流感;消毒剂;深股通;维生素;融资融券,化学制药,31.25,2.5,2,8.0,29.93,2.5,2,8.35,35.86,0.8,1,2.23,32.34,6.19,27.29,-,-,30.45,2.0,6.57,33.32,-,-,33.54,0.5,1.49,35.6,25.38,13.92,18.78
600256,广汇能源,沪市主板,中证红利,石油石化,炼化及贸易,油品石化贸易,MSCI中国;一带一路;上证380;天然气;富时罗素;新疆板块;昨日触板;机构重仓;标准普尔;氢能源;沪股通;油品石化贸易;炼化及贸易;煤化工概念;石油石化;碳交易;融资融券;西部大开发,炼化及贸易,5.65,0.62,1,11.0,7.15,0.7,1,9.79,8.18,0.8,1,9.78,7.0,10.19,6.2,-,-,5.86,-,-,5.44,0.62,11.44,5.17,-,-,6.5,4.92,14.97,12.98
600757,长江传媒,沪市主板,中证红利,传媒,出版,教育出版,价值股;传媒;养老金;出版;在线教育;央国企改革;小盘股;教育出版;标准普尔;沪股通;湖北板块;知识产权;红利股;融资融券;证金持股,出版,9.06,0.41,1,4.53,8.14,0.4,1,4.91,7.79,0.32,1,4.11,8.33,4.52,8.65,-,-,9.4,0.41,4.36,9.27,-,-,8.87,-,-,9.98,8.2,10.18,9.47
404,长虹华意,深市主板,红利增长,家用电器,家电零部件Ⅱ,家电零部件Ⅲ,央国企改革;家用电器;家电零部件Ⅱ;家电零部件Ⅲ;新能源车;智能家居;江西板块;汽车热管理;深股通;病毒防治;节能环保;融资融券;贬值受益,家电零部件Ⅱ,7.16,0.3,1,4.19,6.47,0.25,1,3.86,6.22,0.2,1,3.21,6.62,3.76,7.35,-,-,6.99,-,-,7.31,0.3,4.1,6.99,-,-,7.98,6.14,11.43,14.26
2563,森马服饰,深市主板,中证红利,纺织服饰,服装家纺,非运动服装,婴童概念;富时罗素;小盘股;新零售;服装家纺;标准普尔;浙江板块;深成500;深股通;电商概念;社区团购;红利股;纺织服饰;网红经济;融资融券;非运动服装,服装家纺,5.88,0.5,2,8.51,5.84,0.3,1,5.14,6.05,0.2,1,3.31,5.92,5.65,6.46,-,-,5.96,0.35,5.88,5.48,-,-,5.67,0.15,2.65,7.38,5.02,25.61,14.56
601717,中创智领,沪市主板,"中证红利, 中证红利质量, 红利增长",机械设备,专用设备,能源及重型设备,AH股;DeepSeek概念;MSCI中国;上证380;专用设备;中证500;储能概念;华为汽车;富时罗素;新能源车;机构重仓;机械设备;标准普尔;沪股通;河南板块;能源及重型设备;融资融券,专用设备,18.29,1.12,1,6.13,13.8,0.84,1,6.09,12.75,0.56,1,4.39,14.94,5.53,13.7,-,-,15.82,-,-,19.43,1.12,5.77,23.85,-,-,27.69,12.45,51.43,31.91
601666,平煤股份,沪市主板,中证红利,煤炭,煤炭开采,焦煤,2025中报预减;上证380;中证500;反内卷概念;央国企改革;富时罗素;标准普尔;沪股通;河南板块;焦煤;煤炭;煤炭开采;破净股;稀缺资源;红利破净股;红利股;融资融券;证金持股;转债标的,煤炭开采,8.31,0.6,1,7.22,11.32,0.99,1,8.75,9.88,0.87,1,8.8,9.84,8.26,8.92,-,-,8.17,0.6,7.34,7.99,-,-,8.22,-,-,9.64,7.29,16.0,12.28
601101,昊华能源,沪市主板,中证红利,煤炭,煤炭开采,动力煤,动力煤;北京板块;反内卷概念;央国企改革;小盘股;机构重仓;沪股通;煤化工概念;煤炭;煤炭开采;稀缺资源;融资融券,煤炭开采,7.44,0.46,1,6.15,8.37,0.35,1,4.18,6.18,0.34,1,5.5,7.33,5.28,7.56,-,-,7.18,-,-,7.43,0.46,6.17,7.61,-,-,8.27,6.64,11.09,10.8
600546,山煤国际,沪市主板,中证红利,煤炭,煤炭开采,动力煤,HJT电池;上证380;中证500;光伏概念;内贸流通;动力煤;参股银行;反内卷概念;央国企改革;山西板块;昨日炸板;昨日触板;沪股通;煤炭;煤炭开采;红利股;融资融券;超超临界发电,煤炭开采,10.23,0.69,1,6.74,14.57,0.65,1,4.46,16.15,1.8,1,11.15,13.65,7.45,10.97,-,-,9.53,0.69,7.24,9.77,-,-,10.75,-,-,11.78,8.56,15.13,16.34
601336,新华保险,沪市主板,红利质量,非银金融,保险Ⅱ,保险Ⅲ,2025三季报预增;AH股;HS300_;MSCI中国;上证180_;保险Ⅱ;保险Ⅲ;养老概念;北京板块;周期股;富时罗素;标准普尔;沪股通;蚂蚁概念;融资融券;证金持股;非银金融,保险Ⅱ,58.11,2.66,2,4.58,36.03,1.39,2,3.86,35.37,1.08,1,3.05,43.17,3.83,48.7,-,-,51.72,-,-,63.24,1.99,3.15,67.78,0.67,0.99,72.71,44.85,25.13,22.81
2572,索菲亚,深市主板,中证红利,轻工制造,家居用品,定制家居,价值股;参股券商;定制家居;家居用品;富时罗素;小盘股;广东板块;新零售;标准普尔;深成500;深股通;电商概念;虚拟现实;融资融券;轻工制造,家居用品,14.64,1.0,1,6.83,16.22,1.0,1,6.16,18.52,0.7,1,3.78,16.46,5.59,16.46,-,-,15.08,1.0,6.63,13.76,-,-,13.45,-,-,18.3,12.51,24.98,14.56
672,上峰水泥,深市主板,中证红利,建筑材料,水泥,水泥制造,一带一路;价值股;储能概念;光伏概念;养老金;反内卷概念;国产芯片;富时罗素;小盘股;建筑材料;水泥;水泥制造;深股通;甘肃板块;融资融券;西部大开发,水泥,8.92,0.63,1,7.07,7.23,0.4,1,5.53,10.23,0.35,1,3.42,8.79,5.34,7.39,-,-,8.21,0.63,7.67,8.95,-,-,11.03,-,-,12.99,6.99,45.69,21.6
601225,陕西煤业,沪市主板,中证红利,煤炭,煤炭开采,动力煤,HS300_;MSCI中国;上证180_;上证50_;价值股;动力煤;反内卷概念;周期股;央国企改革;富时罗素;昨日高振幅;机构重仓;标准普尔;沪股通;煤炭;煤炭开采;红利股;融资融券;西部大开发;证金持股;陕西板块,煤炭开采,20.9,1.28,3,6.11,24.74,1.42,2,5.76,18.61,2.18,1,11.71,21.42,7.86,20.64,0.1,0.5,19.99,1.14,5.68,20.45,0.04,0.19,22.55,-,-,24.68,18.72,18.09,10.43
601216,君正集团,沪市主板,中证红利,基础化工,化学原料,氯碱,MSCI中国;上证380;中证500;互联网金融;内蒙古;化学原料;参股券商;参股银行;基础化工;富时罗素;彩票概念;昨日高振幅;标准普尔;氯碱;沪股通;煤化工概念;独角兽;生物疫苗;红利股;蚂蚁概念;融资融券;西部大开发;阿里概念;降解塑料,化学原料,5.36,0.15,1,2.8,4.12,0.32,1,7.76,4.22,0.18,1,4.27,4.57,4.94,5.6,-,-,5.38,0.15,2.79,5.44,-,-,5.03,-,-,6.42,4.67,19.75,12.89
2371,北方华创,深市主板,红利增长,电子,半导体,半导体设备,HS300_;MSCI中国;OLED;中芯概念;光伏概念;光刻机(胶);北京板块;半导体;半导体概念;半导体设备;华为概念;华为海思;国产芯片;央国企改革;宁组合;富时罗素;标准普尔;氮化镓;深成500;深股通;深证100R;电子;百元股;第三代半导体;茅指数;融资融券;锂电池概念;高带宽内存,半导体,410.64,1.06,1,0.26,325.18,0.78,1,0.24,266.71,0.45,1,0.17,334.18,0.22,418.37,-,-,436.83,-,-,362.81,1.06,0.29,429.73,-,-,481.42,318.6,17.24,22.41
600057,厦门象屿,沪市主板,中证红利,交通运输,物流,原材料供应链服务,一带一路;上证380;交通运输;价值股;农业种植;冷链物流;原材料供应链服务;参股银行;土地流转;央国企改革;富时罗素;小盘股;数据要素;沪股通;物流;福建板块;红利股;股权激励;融资融券,物流,7.06,0.35,2,4.95,6.34,0.3,1,4.73,8.75,0.61,1,6.97,7.39,5.55,6.01,-,-,6.63,0.25,3.77,7.23,-,-,8.32,0.1,1.2,9.11,5.59,28.95,20.88
2690,美亚光电,深市主板,中证红利质量,机械设备,专用设备,其他专用设备,专用设备;其他专用设备;养老金;医疗器械概念;安徽板块;富时罗素;小盘股;工业互联;机器视觉;机械设备;标准普尔;深成500;深股通;融资融券;食品安全,专用设备,17.8,0.7,1,3.93,16.36,0.7,1,4.28,24.26,0.7,1,2.89,19.47,3.7,15.16,-,-,17.12,0.7,4.09,18.38,-,-,20.34,-,-,21.99,13.66,23.54,23.26
603444,吉比特,沪市主板,红利质量,传媒,游戏Ⅱ,游戏Ⅲ,2025三季报预增;上证380;中证500;传媒;在线教育;富时罗素;标准普尔;沪股通;游戏Ⅱ;游戏Ⅲ;百元股;福建板块;网络游戏;融资融券;谷子经济,游戏Ⅱ,339.06,16.1,3,4.75,197.81,6.5,2,3.29,396.48,10.0,2,2.52,311.12,3.52,220.94,-,-,245.93,3.5,1.42,420.67,6.6,1.57,454.63,6.0,1.32,662.01,202.0,95.25,40.42
603040,新坐标,沪市主板,"中证红利质量, 红利质量",汽车,汽车零部件,底盘与发动机系统,专精特新;养老金;底盘与发动机系统;新能源车;汽车;汽车热管理;汽车零部件;沪股通;浙江板块,汽车零部件,50.01,1.25,4,2.5,21.1,0.6,2,2.84,22.76,0.5,2,2.2,31.29,2.51,27.6,0.1,0.36,35.48,0.6,1.69,57.4,0.3,0.52,77.69,0.25,0.32,91.99,21.47,83.96,57.07
601001,晋控煤业,沪市主板,中证红利,煤炭,煤炭开采,动力煤,上证380;中证500;动力煤;反内卷概念;央国企改革;富时罗素;山西板块;昨日高振幅;机构重仓;标准普尔;沪股通;煤炭;煤炭开采;稀缺资源;融资融券,煤炭开采,13.15,0.76,1,5.74,15.19,0.79,1,5.2,11.11,0.63,1,5.67,13.15,5.54,12.43,-,-,11.77,-,-,13.52,0.76,5.59,14.81,-,-,16.56,10.89,25.94,17.18
2756,永兴材料,深市主板,中证红利,有色金属,能源金属,锂,中证500;养老金;反内卷概念;富时罗素;昨日高振幅;有色金属;核能核电;浙江板块;深成500;深股通;股权激励;能源金属;航天航空;融资融券;锂;锂电池概念;锂矿概念,能源金属,37.24,0.8,2,2.15,42.29,2.5,2,5.91,66.41,6.0,2,9.03,48.65,5.7,36.47,-,-,30.95,0.5,1.62,35.12,-,-,46.58,0.3,0.64,56.28,29.67,51.15,20.32
603508,思维列控,沪市主板,中证红利质量,计算机,计算机设备,安防设备,2025中报预增;大数据;安防设备;小盘股;无人驾驶;机构重仓;沪股通;河南板块;红利股;融资融券;计算机;计算机设备;车联网(车路云);铁路基建,计算机设备,27.72,3.29,2,11.86,19.69,1.01,2,5.11,16.74,0.55,1,3.26,21.39,6.74,23.68,-,-,25.7,1.19,4.62,31.69,2.1,6.63,29.3,-,-,37.16,21.02,34.04,24.18
333,美的集团,深市主板,中证红利质量,家用电器,白色家电,空调,AH股;HS300_;MSCI中国;人形机器人;价值股;净水概念;医疗器械概念;参股银行;国产芯片;央视50_;家用电器;工业互联;广东板块;数据中心;新能源车;智能家居;机构重仓;标准普尔;液冷概念;深成500;深股通;深证100R;物联网;白色家电;空气能热泵;空调;股权激励;茅指数;融资融券;证金持股;超级品牌;鸿蒙概念,白色家电,74.56,4.0,2,5.36,66.18,3.0,1,4.53,54.63,2.5,1,4.58,65.13,4.82,73.49,-,-,74.1,3.5,4.72,73.2,-,-,77.53,0.5,0.64,82.23,67.18,10.29,9.9
2867,周大生,深市主板,"中证红利, 中证红利质量",纺织服饰,饰品,钟表珠宝,富时罗素;小盘股;广东板块;标准普尔;深圳特区;深成500;深股通;电商概念;纺织服饰;融资融券;钟表珠宝;饰品;黄金概念,饰品,13.27,0.9,2,6.78,14.51,0.95,2,6.55,16.17,0.9,2,5.57,14.65,6.3,13.0,-,-,13.7,0.65,4.74,13.42,-,-,12.95,0.25,1.93,16.34,11.91,23.1,10.28
601900,南方传媒,沪市主板,红利质量,传媒,出版,教育出版,2025中报预增;AI应用;人工智能;价值股;传媒;出版;参股银行;在线教育;央国企改革;小盘股;广东板块;教育出版;数字阅读;沪股通;融资融券,出版,14.84,0.55,1,3.71,13.5,0.54,1,4.0,15.41,0.47,1,3.05,14.58,3.59,15.16,-,-,16.17,-,-,14.26,0.55,3.86,13.85,-,-,17.61,12.62,18.66,14.96
2737,葵花药业,深市主板,中证红利,医药生物,中药Ⅱ,中药Ⅲ,2025中报预减;中药Ⅱ;中药Ⅲ;中药概念;创新药;医药生物;婴童概念;富时罗素;小盘股;标准普尔;流感;深股通;肝炎概念;融资融券;黑龙江,中药Ⅱ,16.37,0.5,1,3.06,23.93,1.5,1,6.27,24.43,1.0,1,4.09,21.58,4.47,18.49,-,-,16.21,-,-,15.93,0.5,3.14,14.98,-,-,21.39,14.43,30.7,11.83
2416,爱施德,深市主板,中证红利,商贸零售,专业连锁Ⅱ,专业连锁Ⅲ,专业连锁Ⅱ;专业连锁Ⅲ;互联网金融;内贸流通;区块链;参股保险;商贸零售;富时罗素;小盘股;广东板块;新零售;标准普尔;深圳特区;深成500;深股通;物联网;电子烟;算力概念;网红经济;苹果概念;荣耀概念;融资融券;锂电池概念;阿里概念,专业连锁Ⅱ,12.38,0.5,1,4.04,10.96,0.4,1,3.65,8.36,0.5,1,5.98,10.57,4.56,13.53,-,-,11.62,0.5,4.3,12.25,-,-,12.21,-,-,17.1,10.87,38.09,12.22
601598,中国外运,沪市主板,中证红利,交通运输,物流,跨境物流,AH股;一带一路;上证380;中字头;中特估;中证500;交通运输;价值股;冷链物流;北京板块;区块链;央国企改革;富时罗素;快递概念;机构重仓;标准普尔;沪股通;物流;红利股;统一大市场;融资融券;跨境物流;跨境电商,物流,5.53,0.29,2,5.24,5.43,0.29,2,5.34,4.61,0.24,2,5.32,5.19,5.3,5.14,-,-,4.92,-,-,5.74,0.14,2.53,6.3,0.14,2.3,7.8,4.64,40.93,16.17
603611,诺力股份,沪市主板,红利质量,机械设备,工程机械,工程机械整机,一带一路;人工智能;价值股;工业互联;工程机械;工程机械整机;工程机械概念;新型工业化;无人驾驶;机器人概念;机械设备;沪股通;浙江板块;统一大市场,工程机械,21.67,0.9,1,4.14,17.86,0.62,1,3.48,21.04,0.55,1,2.61,20.19,3.41,18.61,-,-,19.15,0.9,4.68,24.66,-,-,23.82,-,-,28.94,15.23,33.54,29.72
603929,亚翔集成,沪市主板,红利质量,建筑装饰,专业工程,其他专业工程,OLED;专业工程;中芯概念;其他专业工程;半导体概念;华为概念;国产芯片;富士康;建筑装饰;标准普尔;江苏板块;沪股通;百元股,专业工程,40.61,2.0,2,4.93,23.8,1.0,1,4.2,17.85,0.25,1,1.4,27.42,3.51,31.61,-,-,29.58,1.0,3.38,38.6,1.0,2.59,62.4,-,-,108.31,25.43,166.71,37.38
600919,江苏银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,HS300_;MSCI中国;上证180_;互联网金融;价值股;区块链;城商行Ⅲ;富时罗素;机构重仓;标准普尔;江苏板块;沪股通;破净股;红利破净股;红利股;融资融券;银行;银行Ⅱ,银行Ⅱ,10.54,0.52,2,4.94,8.04,0.47,1,5.84,7.15,0.49,1,6.86,8.58,5.88,9.47,0.31,3.23,10.68,-,-,11.2,0.21,1.91,10.69,-,-,12.54,8.97,18.98,14.89
601919,中远海控,沪市主板,中证红利,交通运输,航运港口,航运,AH股;HS300_;MSCI中国;一带一路;上证180_;上证50_;中字头;中特估;交通运输;价值股;周期股;天津板块;央国企改革;富时罗素;机构重仓;标准普尔;沪股通;海洋经济;航运;航运港口;融资融券;证金持股,航运港口,15.0,1.59,2,10.6,12.88,0.75,2,5.82,10.3,1.9,2,18.44,12.73,11.62,14.28,-,-,15.29,1.03,6.74,15.35,-,-,15.02,0.56,3.73,16.71,12.74,11.38,15.08
603367,辰欣药业,沪市主板,红利质量,医药生物,化学制药,化学制剂,化学制剂;化学制药;医药生物;婴童概念;山东板块;标准普尔;沪股通;流感;病毒防治;肝素概念,化学制药,17.89,0.41,2,2.28,14.25,0.66,2,4.6,14.49,0.34,1,2.31,15.54,3.07,13.43,-,-,13.97,0.22,1.58,23.63,-,-,19.72,0.19,0.95,34.05,12.9,90.38,27.87
601229,上海银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,HS300_;MSCI中国;QFII重仓;上海板块;上证180_;互联网金融;价值股;城商行Ⅲ;富时罗素;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;转债标的;银行;银行Ⅱ;长期破净;长江三角,银行Ⅱ,9.94,0.52,2,5.23,7.35,0.74,2,10.07,6.06,0.4,1,6.6,7.78,7.3,9.21,-,-,10.59,0.22,2.08,10.07,-,-,9.83,0.3,3.05,11.43,8.73,15.0,12.17
601997,贵阳银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,上证380;中证500;互联网金融;价值股;城商行Ⅲ;富时罗素;标准普尔;沪股通;破净股;融资融券;西部大开发;贵州板块;银行;银行Ⅱ;长期破净,银行Ⅱ,6.04,0.29,1,4.8,5.54,0.29,1,5.24,5.46,0.3,1,5.5,5.68,5.18,5.83,-,-,5.97,0.29,4.86,6.32,-,-,6.01,-,-,7.02,5.59,16.22,7.46
603203,快克智能,沪市主板,中证红利质量,机械设备,自动化设备,工控设备,AI眼镜;OLED;专精特新;中芯概念;半导体概念;华为概念;富士康;小米概念;工业互联;工控设备;新能源车;智能穿戴;机器人概念;机构重仓;机械设备;江苏板块;沪股通;液冷概念;自动化设备;苹果概念,自动化设备,27.02,0.65,1,2.41,22.06,0.6,1,2.72,29.53,1.0,1,3.39,26.2,2.84,24.2,-,-,23.34,0.65,2.78,28.73,-,-,31.5,-,-,38.42,20.5,42.19,24.13
603871,嘉友国际,沪市主板,中证红利质量,交通运输,物流,跨境物流,一带一路;上证380;中俄贸易概念;交通运输;冷链物流;北京板块;小盘股;标准普尔;沪股通;物流;融资融券;跨境物流,物流,13.95,0.6,2,4.3,21.13,0.8,2,3.79,20.46,0.5,1,2.44,18.51,3.51,16.86,-,-,13.77,0.4,2.91,11.87,-,-,13.66,0.2,1.46,19.36,9.83,38.77,29.54
603233,大参林,沪市主板,红利质量,医药生物,医药商业,线下药店,上证380;中证500;内贸流通;医药商业;医药生物;富时罗素;广东板块;标准普尔;沪股通;电商概念;线下药店;融资融券;转债标的,医药商业,16.8,0.65,2,3.87,17.99,0.62,2,3.45,30.7,0.6,1,1.95,21.83,3.09,14.74,-,-,17.18,0.31,1.8,17.18,-,-,17.94,0.34,1.89,19.41,13.57,15.57,19.21
603816,顾家家居,沪市主板,"中证红利质量, 红利质量",轻工制造,家居用品,成品家居,MSCI中国;上证380;中证500;价值股;家居用品;富时罗素;成品家居;智能家居;标准普尔;沪股通;浙江板块;电商概念;融资融券;轻工制造,家居用品,27.7,1.38,1,4.98,31.48,1.39,1,4.42,40.21,1.11,1,2.76,33.13,4.05,27.84,-,-,24.75,-,-,27.64,1.38,4.99,30.57,-,-,32.38,22.58,16.92,18.47
